inventory_id,restaurant_id,item_id,date,stock_level,consumed_qty,replenished_qty
INV00000052,R001,M0012,2025-11-02,186,112,37
INV00000053,R001,M0066,2025-11-02,110,55,33
INV00000054,R001,M0086,2025-11-02,175,61,45
INV00000055,R001,M0007,2025-11-02,174,72,92
INV00000056,R001,M0028,2025-11-02,71,1,80
INV00000057,R001,M0077,2025-11-02,55,13,22
INV00000058,R001,M0140,2025-11-02,20,0,66
INV00000059,R001,M0127,2025-11-02,106,27,79
INV00000060,R001,M0042,2025-11-02,112,96,31
INV00000061,R001,M0005,2025-11-02,138,22,46
INV00000062,R001,M0136,2025-11-02,194,45,32
INV00000063,R001,M0033,2025-11-02,138,121,41
INV00000064,R001,M0128,2025-11-02,57,2,33
INV00000065,R001,M0133,2025-11-02,196,155,7
INV00000066,R001,M0069,2025-11-02,196,132,30
INV00000067,R001,M0011,2025-11-02,72,34,57
INV00000068,R001,M0096,2025-11-02,118,4,32
INV00000069,R001,M0110,2025-11-02,32,24,23
INV00000070,R001,M0001,2025-11-02,30,18,82
INV00000071,R001,M0120,2025-11-02,30,0,29
INV00000072,R001,M0112,2025-11-02,161,64,94
INV00000073,R001,M0065,2025-11-02,86,24,24
INV00000074,R001,M0045,2025-11-02,70,17,43
INV00000075,R001,M0087,2025-11-02,77,53,33
INV00000076,R001,M0029,2025-11-02,161,108,43
INV00000077,R001,M0041,2025-11-02,174,63,94
INV00000078,R001,M0113,2025-11-02,62,1,53
INV00000079,R001,M0026,2025-11-02,51,36,97
INV00000080,R001,M0024,2025-11-02,141,33,93
INV00000081,R001,M0106,2026-05-28,180,151,32
INV00000082,R001,M0109,2026-05-28,45,40,99
INV00000083,R001,M0142,2026-05-28,60,58,5
INV00000084,R001,M0056,2026-05-28,76,16,87
INV00000085,R001,M0095,2026-05-28,35,23,68
INV00000086,R001,M0030,2026-05-28,147,87,89
INV00000087,R001,M0102,2026-05-28,111,19,92
INV00000088,R001,M0052,2026-05-28,117,50,53
INV00000089,R001,M0101,2026-05-28,175,110,31
INV00000090,R001,M0143,2026-05-28,168,60,81
INV00000091,R001,M0020,2026-05-28,182,21,56
INV00000092,R001,M0085,2026-05-28,112,18,17
INV00000093,R001,M0016,2026-05-28,75,17,63
INV00000094,R001,M0067,2026-05-28,191,60,46
INV00000095,R001,M0025,2026-05-28,196,107,58
INV00000096,R001,M0031,2026-05-28,75,48,8
INV00000097,R001,M0129,2026-05-28,52,12,74
INV00000098,R001,M0148,2026-05-28,49,38,45
INV00000099,R001,M0099,2026-05-28,156,22,87
INV00000100,R001,M0017,2026-05-28,115,112,3
INV00000101,R001,M0076,2026-05-28,63,40,45
INV00000102,R001,M0019,2026-05-28,46,10,84
INV00000103,R001,M0013,2026-05-28,101,87,19
INV00000104,R001,M0010,2026-05-28,124,89,30
INV00000105,R001,M0032,2026-05-28,135,40,47
INV00000106,R001,M0152,2026-05-28,38,6,51
INV00000107,R001,M0098,2026-05-28,163,151,69
INV00000108,R001,M0057,2026-05-28,99,38,14
INV00000109,R001,M0132,2026-05-28,23,1,77
INV00000110,R001,M0105,2026-05-28,147,123,21
INV00000111,R001,M0137,2026-05-28,85,19,3
INV00000112,R001,M0079,2026-05-28,101,47,54
INV00000113,R001,M0061,2026-05-28,103,89,70
INV00000114,R001,M0116,2026-05-28,73,23,10
INV00000115,R001,M0003,2026-05-28,163,64,99
INV00000116,R001,M0124,2026-05-28,32,10,5
INV00000117,R001,M0046,2026-05-28,113,51,57
INV00000118,R001,M0043,2026-05-28,120,33,49
INV00000119,R001,M0070,2026-05-28,47,8,94
INV00000120,R001,M0091,2026-05-28,89,59,57
INV00000121,R001,M0027,2026-05-28,39,31,61
INV00000122,R001,M0139,2026-05-28,130,112,95
INV00000123,R001,M0083,2026-05-28,152,37,9
INV00000124,R001,M0097,2026-05-28,120,110,65
INV00000125,R001,M0147,2026-05-28,94,64,77
INV00000126,R001,M0037,2026-05-28,104,5,89
INV00000127,R001,M0082,2026-05-28,36,25,6
INV00000128,R001,M0023,2026-05-28,67,64,78
INV00000129,R001,M0144,2026-05-28,114,35,69
INV00000130,R001,M0068,2026-05-28,38,5,29
INV00000131,R001,M0115,2026-05-28,182,16,79
INV00000132,R001,M0012,2026-05-28,29,3,17
INV00000133,R001,M0066,2026-05-28,93,3,71
INV00000134,R001,M0086,2026-05-28,43,33,75
INV00000135,R001,M0007,2026-05-28,107,41,26
INV00000136,R001,M0028,2026-05-28,185,51,80
INV00000137,R001,M0077,2026-05-28,133,15,46
INV00000138,R001,M0140,2026-05-28,60,26,98
INV00000139,R001,M0127,2026-05-28,196,25,53
INV00000140,R001,M0042,2026-05-28,153,108,0
INV00000141,R001,M0005,2026-05-28,38,33,5
INV00000142,R001,M0136,2026-05-28,88,38,30
INV00000143,R001,M0033,2026-05-28,186,105,6
INV00000144,R001,M0128,2026-05-28,138,4,98
INV00000145,R001,M0133,2026-05-28,47,26,69
INV00000146,R001,M0069,2026-05-28,59,17,16
INV00000147,R001,M0011,2026-05-28,138,0,18
INV00000148,R001,M0096,2026-05-28,152,73,73
INV00000149,R001,M0110,2026-05-28,149,138,3
INV00000150,R001,M0001,2026-05-28,106,70,78
INV00000151,R001,M0120,2026-05-28,42,34,74
INV00000152,R001,M0112,2026-05-28,186,30,1
INV00000153,R001,M0065,2026-05-28,157,4,75
INV00000154,R001,M0045,2026-05-28,47,7,67
INV00000155,R001,M0087,2026-05-28,112,8,13
INV00000156,R001,M0029,2026-05-28,59,8,8
INV00000157,R001,M0041,2026-05-28,199,40,10
INV00000158,R001,M0113,2026-05-28,41,40,44
INV00000159,R001,M0026,2026-05-28,46,29,5
INV00000160,R001,M0024,2026-05-28,116,21,25
INV00000161,R001,M0106,2026-04-01,116,73,64
INV00000162,R001,M0109,2026-04-01,34,22,75
INV00000163,R001,M0142,2026-04-01,132,15,90
INV00000164,R001,M0056,2026-04-01,67,8,83
INV00000165,R001,M0095,2026-04-01,173,28,92
INV00000166,R001,M0030,2026-04-01,84,80,43
INV00000167,R001,M0102,2026-04-01,147,144,95
INV00000168,R001,M0052,2026-04-01,36,11,10
INV00000169,R001,M0101,2026-04-01,175,65,56
INV00000170,R001,M0143,2026-04-01,167,147,35
INV00000171,R001,M0020,2026-04-01,146,80,52
INV00000172,R001,M0085,2026-04-01,36,18,68
INV00000173,R001,M0016,2026-04-01,33,13,38
INV00000174,R001,M0067,2026-04-01,99,3,9
INV00000175,R001,M0025,2026-04-01,198,23,29
INV00000176,R001,M0031,2026-04-01,50,45,23
INV00000177,R001,M0129,2026-04-01,179,135,92
INV00000178,R001,M0148,2026-04-01,167,142,58
INV00000179,R001,M0099,2026-04-01,156,27,49
INV00000180,R001,M0017,2026-04-01,63,6,22
INV00000181,R001,M0076,2026-04-01,43,15,55
INV00000182,R001,M0019,2026-04-01,41,22,18
INV00000183,R001,M0013,2026-04-01,134,89,32
INV00000184,R001,M0010,2026-04-01,142,58,40
INV00000185,R001,M0032,2026-04-01,58,1,51
INV00000186,R001,M0152,2026-04-01,36,10,4
INV00000187,R001,M0098,2026-04-01,188,71,63
INV00000188,R001,M0057,2026-04-01,60,19,90
INV00000189,R001,M0132,2026-04-01,76,62,26
INV00000190,R001,M0105,2026-04-01,74,29,33
INV00000191,R001,M0137,2026-04-01,61,23,11
INV00000192,R001,M0079,2026-04-01,48,45,72
INV00000193,R001,M0061,2026-04-01,161,18,40
INV00000194,R001,M0116,2026-04-01,177,74,21
INV00000195,R001,M0003,2026-04-01,127,95,99
INV00000196,R001,M0124,2026-04-01,184,132,18
INV00000197,R001,M0046,2026-04-01,193,150,78
INV00000198,R001,M0043,2026-04-01,180,43,19
INV00000199,R001,M0070,2026-04-01,119,85,16
INV00000200,R001,M0091,2026-04-01,194,166,16
INV00000201,R001,M0027,2026-04-01,89,79,65
INV00000202,R001,M0139,2026-04-01,98,69,65
INV00000203,R001,M0083,2026-04-01,135,62,2
INV00000204,R001,M0097,2026-04-01,24,21,9
INV00000205,R001,M0147,2026-04-01,107,101,78
INV00000206,R001,M0037,2026-04-01,160,95,4
INV00000207,R001,M0082,2026-04-01,127,76,10
INV00000208,R001,M0023,2026-04-01,53,33,54
INV00000209,R001,M0144,2026-04-01,92,26,29
INV00000210,R001,M0068,2026-04-01,182,130,23
INV00000211,R001,M0115,2026-04-01,59,28,75
INV00000212,R001,M0012,2026-04-01,184,19,1
INV00000213,R001,M0066,2026-04-01,163,123,26
INV00000214,R001,M0086,2026-04-01,180,87,41
INV00000215,R001,M0007,2026-04-01,96,86,91
INV00000216,R001,M0028,2026-04-01,31,1,76
INV00000217,R001,M0077,2026-04-01,33,25,21
INV00000218,R001,M0140,2026-04-01,84,67,79
INV00000219,R001,M0127,2026-04-01,92,51,37
INV00000220,R001,M0042,2026-04-01,130,30,56
INV00000221,R001,M0005,2026-04-01,169,129,5
INV00000222,R001,M0136,2026-04-01,162,145,7
INV00000223,R001,M0033,2026-04-01,175,26,52
INV00000224,R001,M0128,2026-04-01,110,26,73
INV00000225,R001,M0133,2026-04-01,127,97,95
INV00000226,R001,M0069,2026-04-01,159,154,75
INV00000227,R001,M0011,2026-04-01,178,160,0
INV00000228,R001,M0096,2026-04-01,160,93,57
INV00000229,R001,M0110,2026-04-01,41,9,14
INV00000230,R001,M0001,2026-04-01,131,6,1
INV00000231,R001,M0120,2026-04-01,85,83,6
INV00000232,R001,M0112,2026-04-01,83,68,55
INV00000233,R001,M0065,2026-04-01,151,77,64
INV00000234,R001,M0045,2026-04-01,163,23,87
INV00000235,R001,M0087,2026-04-01,21,13,67
INV00000236,R001,M0029,2026-04-01,98,65,50
INV00000237,R001,M0041,2026-04-01,141,35,96
INV00000238,R001,M0113,2026-04-01,46,8,64
INV00000239,R001,M0026,2026-04-01,136,59,73
INV00000240,R001,M0024,2026-04-01,34,6,44
INV00000241,R001,M0106,2025-09-05,84,78,0
INV00000242,R001,M0109,2025-09-05,109,70,61
INV00000243,R001,M0142,2025-09-05,113,96,16
INV00000244,R001,M0056,2025-09-05,198,38,72
INV00000245,R001,M0095,2025-09-05,190,3,80
INV00000246,R001,M0030,2025-09-05,63,47,57
INV00000247,R001,M0102,2025-09-05,124,64,46
INV00000248,R001,M0052,2025-09-05,29,12,20
INV00000249,R001,M0101,2025-09-05,75,10,19
INV00000250,R001,M0143,2025-09-05,187,119,27
INV00000251,R001,M0020,2025-09-05,28,13,52
INV00000252,R001,M0085,2025-09-05,142,53,19
INV00000253,R001,M0016,2025-09-05,153,50,88
INV00000254,R001,M0067,2025-09-05,56,6,7
INV00000255,R001,M0025,2025-09-05,183,6,83
INV00000256,R001,M0031,2025-09-05,88,55,36
INV00000257,R001,M0129,2025-09-05,71,64,70
INV00000258,R001,M0148,2025-09-05,106,36,91
INV00000259,R001,M0099,2025-09-05,131,5,42
INV00000260,R001,M0017,2025-09-05,27,23,55
INV00000261,R001,M0076,2025-09-05,56,40,25
INV00000262,R001,M0019,2025-09-05,88,19,67
INV00000263,R001,M0013,2025-09-05,38,4,36
INV00000264,R001,M0010,2025-09-05,84,9,7
INV00000265,R001,M0032,2025-09-05,197,183,10
INV00000266,R001,M0152,2025-09-05,152,53,80
INV00000267,R001,M0098,2025-09-05,43,41,49
INV00000268,R001,M0057,2025-09-05,146,133,89
INV00000269,R001,M0132,2025-09-05,62,16,35
INV00000270,R001,M0105,2025-09-05,74,7,8
INV00000271,R001,M0137,2025-09-05,139,100,14
INV00000272,R001,M0079,2025-09-05,161,149,14
INV00000273,R001,M0061,2025-09-05,131,100,47
INV00000274,R001,M0116,2025-09-05,159,84,71
INV00000275,R001,M0003,2025-09-05,41,39,6
INV00000276,R001,M0124,2025-09-05,151,5,50
INV00000277,R001,M0046,2025-09-05,177,0,87
INV00000278,R001,M0043,2025-09-05,51,21,55
INV00000279,R001,M0070,2025-09-05,96,43,36
INV00000280,R001,M0091,2025-09-05,175,2,69
INV00000281,R001,M0027,2025-09-05,21,2,20
INV00000282,R001,M0139,2025-09-05,104,46,30
INV00000283,R001,M0083,2025-09-05,161,135,91
INV00000284,R001,M0097,2025-09-05,61,31,15
INV00000285,R001,M0147,2025-09-05,184,37,10
INV00000286,R001,M0037,2025-09-05,129,128,64
INV00000287,R001,M0082,2025-09-05,72,53,26
INV00000288,R001,M0023,2025-09-05,164,78,14
INV00000289,R001,M0144,2025-09-05,21,13,87
INV00000290,R001,M0068,2025-09-05,57,55,36
INV00000291,R001,M0115,2025-09-05,107,95,61
INV00000292,R001,M0012,2025-09-05,41,11,74
INV00000293,R001,M0066,2025-09-05,132,92,2
INV00000294,R001,M0086,2025-09-05,87,18,34
INV00000295,R001,M0007,2025-09-05,159,73,9
INV00000296,R001,M0028,2025-09-05,157,142,12
INV00000297,R001,M0077,2025-09-05,34,7,70
INV00000298,R001,M0140,2025-09-05,172,118,64
INV00000299,R001,M0127,2025-09-05,79,61,40
INV00000300,R001,M0042,2025-09-05,176,2,27
INV00000301,R001,M0005,2025-09-05,106,78,49
INV00000302,R001,M0136,2025-09-05,179,152,19
INV00000303,R001,M0033,2025-09-05,91,21,24
INV00000304,R001,M0128,2025-09-05,184,9,79
INV00000305,R001,M0133,2025-09-05,65,26,30
INV00000306,R001,M0069,2025-09-05,165,18,65
INV00000307,R001,M0011,2025-09-05,34,10,62
INV00000308,R001,M0096,2025-09-05,154,107,78
INV00000309,R001,M0110,2025-09-05,180,34,37
INV00000310,R001,M0001,2025-09-05,158,0,55
INV00000311,R001,M0120,2025-09-05,40,29,26
INV00000312,R001,M0112,2025-09-05,101,96,0
INV00000313,R001,M0065,2025-09-05,103,28,12
INV00000314,R001,M0045,2025-09-05,126,53,48
INV00000315,R001,M0087,2025-09-05,186,102,97
INV00000316,R001,M0029,2025-09-05,106,76,65
INV00000317,R001,M0041,2025-09-05,175,67,49
INV00000318,R001,M0113,2025-09-05,179,105,47
INV00000319,R001,M0026,2025-09-05,94,48,24
INV00000320,R001,M0024,2025-09-05,143,52,68
INV00000321,R001,M0106,2026-02-25,142,127,29
INV00000322,R001,M0109,2026-02-25,151,71,13
INV00000323,R001,M0142,2026-02-25,36,10,5
INV00000324,R001,M0056,2026-02-25,31,8,37
INV00000325,R001,M0095,2026-02-25,110,4,92
INV00000326,R001,M0030,2026-02-25,132,93,76
INV00000327,R001,M0102,2026-02-25,160,56,55
INV00000328,R001,M0052,2026-02-25,140,28,44
INV00000329,R001,M0101,2026-02-25,88,77,85
INV00000330,R001,M0143,2026-02-25,70,16,82
INV00000331,R001,M0020,2026-02-25,193,172,99
INV00000332,R001,M0085,2026-02-25,131,38,87
INV00000333,R001,M0016,2026-02-25,185,103,75
INV00000334,R001,M0067,2026-02-25,77,42,37
INV00000335,R001,M0025,2026-02-25,141,77,77
INV00000336,R001,M0031,2026-02-25,130,64,86
INV00000337,R001,M0129,2026-02-25,111,70,95
INV00000338,R001,M0148,2026-02-25,126,74,8
INV00000339,R001,M0099,2026-02-25,171,80,63
INV00000340,R001,M0017,2026-02-25,168,24,96
INV00000341,R001,M0076,2026-02-25,150,131,76
INV00000342,R001,M0019,2026-02-25,73,28,35
INV00000343,R001,M0013,2026-02-25,153,70,63
INV00000344,R001,M0010,2026-02-25,195,37,40
INV00000345,R001,M0032,2026-02-25,127,61,19
INV00000346,R001,M0152,2026-02-25,146,90,21
INV00000347,R001,M0098,2026-02-25,136,14,61
INV00000348,R001,M0057,2026-02-25,69,12,30
INV00000349,R001,M0132,2026-02-25,30,23,94
INV00000350,R001,M0105,2026-02-25,118,29,60
INV00000351,R001,M0137,2026-02-25,183,150,14
INV00000352,R001,M0079,2026-02-25,69,37,37
INV00000353,R001,M0061,2026-02-25,86,60,22
INV00000354,R001,M0116,2026-02-25,139,58,4
INV00000355,R001,M0003,2026-02-25,172,9,75
INV00000356,R001,M0124,2026-02-25,115,21,57
INV00000357,R001,M0046,2026-02-25,136,60,33
INV00000358,R001,M0043,2026-02-25,177,81,74
INV00000359,R001,M0070,2026-02-25,54,27,81
INV00000360,R001,M0091,2026-02-25,181,132,6
INV00000361,R001,M0027,2026-02-25,141,81,85
INV00000362,R001,M0139,2026-02-25,194,119,84
INV00000363,R001,M0083,2026-02-25,97,24,0
INV00000364,R001,M0097,2026-02-25,40,31,93
INV00000365,R001,M0147,2026-02-25,126,50,7
INV00000366,R001,M0037,2026-02-25,65,37,99
INV00000367,R001,M0082,2026-02-25,151,87,72
INV00000368,R001,M0023,2026-02-25,148,60,92
INV00000369,R001,M0144,2026-02-25,76,63,99
INV00000370,R001,M0068,2026-02-25,125,46,4
INV00000371,R001,M0115,2026-02-25,92,4,63
INV00000372,R001,M0012,2026-02-25,55,38,34
INV00000373,R001,M0066,2026-02-25,130,1,70
INV00000374,R001,M0086,2026-02-25,34,11,94
INV00000375,R001,M0007,2026-02-25,130,106,37
INV00000376,R001,M0028,2026-02-25,171,91,15
INV00000377,R001,M0077,2026-02-25,164,96,27
INV00000378,R001,M0140,2026-02-25,151,84,45
INV00000379,R001,M0127,2026-02-25,168,132,54
INV00000380,R001,M0042,2026-02-25,31,12,71
INV00000381,R001,M0005,2026-02-25,95,74,94
INV00000382,R001,M0136,2026-02-25,160,56,57
INV00000383,R001,M0033,2026-02-25,144,93,69
INV00000384,R001,M0128,2026-02-25,34,30,13
INV00000385,R001,M0133,2026-02-25,92,27,61
INV00000386,R001,M0069,2026-02-25,38,8,54
INV00000387,R001,M0011,2026-02-25,76,34,91
INV00000388,R001,M0096,2026-02-25,62,34,41
INV00000389,R001,M0110,2026-02-25,40,2,80
INV00000390,R001,M0001,2026-02-25,79,72,30
INV00000391,R001,M0120,2026-02-25,53,26,30
INV00000392,R001,M0112,2026-02-25,183,33,44
INV00000393,R001,M0065,2026-02-25,62,22,85
INV00000394,R001,M0045,2026-02-25,71,3,2
INV00000395,R001,M0087,2026-02-25,52,7,77
INV00000396,R001,M0029,2026-02-25,119,37,62
INV00000397,R001,M0041,2026-02-25,161,0,47
INV00000398,R001,M0113,2026-02-25,178,75,77
INV00000399,R001,M0026,2026-02-25,120,69,59
INV00000400,R001,M0024,2026-02-25,177,16,54
INV00000401,R001,M0106,2026-01-29,96,47,37
INV00000402,R001,M0109,2026-01-29,67,56,27
INV00000403,R001,M0142,2026-01-29,95,35,79
INV00000404,R001,M0056,2026-01-29,31,0,18
INV00000405,R001,M0095,2026-01-29,25,17,47
INV00000406,R001,M0030,2026-01-29,47,11,30
INV00000407,R001,M0102,2026-01-29,110,109,48
INV00000408,R001,M0052,2026-01-29,30,6,85
INV00000409,R001,M0101,2026-01-29,39,18,1
INV00000410,R001,M0143,2026-01-29,46,24,45
INV00000411,R001,M0020,2026-01-29,94,8,89
INV00000412,R001,M0085,2026-01-29,196,55,74
INV00000413,R001,M0016,2026-01-29,31,28,61
INV00000414,R001,M0067,2026-01-29,62,9,25
INV00000415,R001,M0025,2026-01-29,28,17,24
INV00000416,R001,M0031,2026-01-29,132,107,60
INV00000417,R001,M0129,2026-01-29,33,26,85
INV00000418,R001,M0148,2026-01-29,78,35,16
INV00000419,R001,M0099,2026-01-29,31,13,69
INV00000420,R001,M0017,2026-01-29,147,9,42
INV00000421,R001,M0076,2026-01-29,105,66,7
INV00000422,R001,M0019,2026-01-29,121,116,35
INV00000423,R001,M0013,2026-01-29,53,0,4
INV00000424,R001,M0010,2026-01-29,96,25,45
INV00000425,R001,M0032,2026-01-29,61,33,94
INV00000426,R001,M0152,2026-01-29,198,37,21
INV00000427,R001,M0098,2026-01-29,175,54,73
INV00000428,R001,M0057,2026-01-29,103,11,81
INV00000429,R001,M0132,2026-01-29,80,72,90
INV00000430,R001,M0105,2026-01-29,137,43,80
INV00000431,R001,M0137,2026-01-29,61,44,14
INV00000432,R001,M0079,2026-01-29,31,17,87
INV00000433,R001,M0061,2026-01-29,55,30,83
INV00000434,R001,M0116,2026-01-29,121,27,74
INV00000435,R001,M0003,2026-01-29,110,71,76
INV00000436,R001,M0124,2026-01-29,104,2,53
INV00000437,R001,M0046,2026-01-29,184,51,48
INV00000438,R001,M0043,2026-01-29,190,70,78
INV00000439,R001,M0070,2026-01-29,152,53,33
INV00000440,R001,M0091,2026-01-29,166,160,66
INV00000441,R001,M0027,2026-01-29,65,4,82
INV00000442,R001,M0139,2026-01-29,149,121,77
INV00000443,R001,M0083,2026-01-29,151,19,0
INV00000444,R001,M0097,2026-01-29,53,28,44
INV00000445,R001,M0147,2026-01-29,199,116,29
INV00000446,R001,M0037,2026-01-29,71,10,83
INV00000447,R001,M0082,2026-01-29,184,84,24
INV00000448,R001,M0023,2026-01-29,55,3,22
INV00000449,R001,M0144,2026-01-29,153,89,27
INV00000450,R001,M0068,2026-01-29,83,57,32
INV00000451,R001,M0115,2026-01-29,173,152,29
INV00000452,R001,M0012,2026-01-29,121,35,19
INV00000453,R001,M0066,2026-01-29,119,68,31
INV00000454,R001,M0086,2026-01-29,61,26,87
INV00000455,R001,M0007,2026-01-29,104,64,79
INV00000456,R001,M0028,2026-01-29,161,61,73
INV00000457,R001,M0077,2026-01-29,111,35,82
INV00000458,R001,M0140,2026-01-29,95,81,78
INV00000459,R001,M0127,2026-01-29,166,103,81
INV00000460,R001,M0042,2026-01-29,36,20,91
INV00000461,R001,M0005,2026-01-29,163,25,82
INV00000462,R001,M0136,2026-01-29,20,11,81
INV00000463,R001,M0033,2026-01-29,26,19,71
INV00000464,R001,M0128,2026-01-29,127,12,69
INV00000465,R001,M0133,2026-01-29,33,0,19
INV00000466,R001,M0069,2026-01-29,132,63,86
INV00000467,R001,M0011,2026-01-29,154,150,88
INV00000468,R001,M0096,2026-01-29,132,38,6
INV00000469,R001,M0110,2026-01-29,116,115,75
INV00000470,R001,M0001,2026-01-29,37,32,44
INV00000471,R001,M0120,2026-01-29,23,7,89
INV00000472,R001,M0112,2026-01-29,54,41,59
INV00000473,R001,M0065,2026-01-29,42,27,98
INV00000474,R001,M0045,2026-01-29,119,7,69
INV00000475,R001,M0087,2026-01-29,59,1,75
INV00000476,R001,M0029,2026-01-29,48,10,51
INV00000477,R001,M0041,2026-01-29,38,2,48
INV00000478,R001,M0113,2026-01-29,129,84,25
INV00000479,R001,M0026,2026-01-29,78,13,64
INV00000480,R001,M0024,2026-01-29,197,35,5
INV00000481,R001,M0106,2025-09-17,141,76,18
INV00000482,R001,M0109,2025-09-17,62,3,49
INV00000483,R001,M0142,2025-09-17,107,100,31
INV00000484,R001,M0056,2025-09-17,199,21,95
INV00000485,R001,M0095,2025-09-17,185,77,76
INV00000486,R001,M0030,2025-09-17,104,26,5
INV00000487,R001,M0102,2025-09-17,31,16,73
INV00000488,R001,M0052,2025-09-17,31,4,52
INV00000489,R001,M0101,2025-09-17,30,11,48
INV00000490,R001,M0143,2025-09-17,67,11,2
INV00000491,R001,M0020,2025-09-17,108,104,58
INV00000492,R001,M0085,2025-09-17,199,3,22
INV00000493,R001,M0016,2025-09-17,87,80,8
INV00000494,R001,M0067,2025-09-17,165,144,80
INV00000495,R001,M0025,2025-09-17,166,103,20
INV00000496,R001,M0031,2025-09-17,111,85,99
INV00000497,R001,M0129,2025-09-17,117,116,74
INV00000498,R001,M0148,2025-09-17,144,85,20
INV00000499,R001,M0099,2025-09-17,190,38,74
INV00000500,R001,M0017,2025-09-17,90,2,46
INV00000501,R001,M0076,2025-09-17,101,70,29
INV00000502,R001,M0019,2025-09-17,67,40,65
INV00000503,R001,M0013,2025-09-17,40,29,9
INV00000504,R001,M0010,2025-09-17,44,39,41
INV00000505,R001,M0032,2025-09-17,38,12,36
INV00000506,R001,M0152,2025-09-17,172,68,3
INV00000507,R001,M0098,2025-09-17,37,35,75
INV00000508,R001,M0057,2025-09-17,164,101,84
INV00000509,R001,M0132,2025-09-17,34,16,16
INV00000510,R001,M0105,2025-09-17,67,28,32
INV00000511,R001,M0137,2025-09-17,146,34,78
INV00000512,R001,M0079,2025-09-17,159,132,78
INV00000513,R001,M0061,2025-09-17,192,49,98
INV00000514,R001,M0116,2025-09-17,53,19,65
INV00000515,R001,M0003,2025-09-17,173,128,4
INV00000516,R001,M0124,2025-09-17,179,129,25
INV00000517,R001,M0046,2025-09-17,29,12,79
INV00000518,R001,M0043,2025-09-17,110,76,58
INV00000519,R001,M0070,2025-09-17,107,57,60
INV00000520,R001,M0091,2025-09-17,24,13,81
INV00000521,R001,M0027,2025-09-17,198,170,92
INV00000522,R001,M0139,2025-09-17,143,118,81
INV00000523,R001,M0083,2025-09-17,34,0,79
INV00000524,R001,M0097,2025-09-17,54,14,81
INV00000525,R001,M0147,2025-09-17,55,37,19
INV00000526,R001,M0037,2025-09-17,95,34,74
INV00000527,R001,M0082,2025-09-17,168,125,15
INV00000528,R001,M0023,2025-09-17,22,1,23
INV00000529,R001,M0144,2025-09-17,35,0,87
INV00000530,R001,M0068,2025-09-17,171,48,77
INV00000531,R001,M0115,2025-09-17,181,62,57
INV00000532,R001,M0012,2025-09-17,142,138,2
INV00000533,R001,M0066,2025-09-17,191,177,43
INV00000534,R001,M0086,2025-09-17,48,22,20
INV00000535,R001,M0007,2025-09-17,119,20,23
