wastage_id,restaurant_id,item_id,date,wasted_qty,wastage_cost,reason
WST0000102,R016,M0098,2026-05-19,6.4,69.76,Quality Rejection
WST0000103,R006,M0016,2026-08-18,10.1,29.49,Customer Return
WST0000104,R013,M0132,2025-12-16,5.2,15.81,Spoilage
WST0000105,R012,M0095,2026-02-24,9.5,40.66,Quality Rejection
WST0000106,R011,M0089,2026-01-06,3.0,17.28,Spoilage
WST0000107,R019,M0094,2025-09-03,7.1,52.47,Spoilage
WST0000108,R017,M0048,2026-04-05,5.5,18.15,Customer Return
WST0000109,R011,M0042,2026-07-21,3.9,37.17,Preparation Waste
WST0000110,R014,M0016,2025-08-06,6.2,18.1,Spoilage
WST0000111,R015,M0154,2025-11-11,3.2,16.26,Overproduction
WST0000112,R016,M0083,2026-05-22,4.9,61.5,Expired Ingredients
WST0000113,R016,M0036,2026-05-01,4.7,13.68,Quality Rejection
WST0000114,R010,M0081,2026-01-16,10.8,47.95,Customer Return
WST0000115,R001,M0016,2026-03-31,14.3,41.76,Quality Rejection
WST0000116,R009,M0134,2026-09-21,5.1,67.68,Expired Ingredients
WST0000117,R019,M0132,2026-07-13,10.4,31.62,Customer Return
WST0000118,R016,M0127,2025-08-10,9.8,125.34,Customer Return
WST0000119,R016,M0104,2026-05-24,6.8,41.34,Preparation Waste
WST0000120,R010,M0078,2025-08-15,4.4,24.07,Customer Return
WST0000121,R013,M0003,2025-09-02,3.5,32.83,Preparation Waste
WST0000122,R012,M0082,2026-03-09,11.5,76.94,Spoilage
WST0000123,R002,M0130,2026-04-04,12.1,145.68,Quality Rejection
WST0000124,R010,M0016,2025-11-22,4.2,12.26,Quality Rejection
WST0000125,R019,M0129,2025-12-09,2.9,7.86,Expired Ingredients
WST0000126,R014,M0113,2026-01-02,3.8,32.98,Preparation Waste
WST0000127,R002,M0137,2025-10-17,6.8,38.28,Customer Return
WST0000128,R010,M0033,2026-02-22,2.5,31.48,Expired Ingredients
WST0000129,R004,M0137,2026-04-24,7.3,41.1,Quality Rejection
WST0000130,R006,M0047,2026-07-21,4.6,35.74,Spoilage
WST0000131,R013,M0130,2026-04-06,12.1,145.68,Expired Ingredients
WST0000132,R009,M0102,2026-09-20,11.9,104.12,Expired Ingredients
WST0000133,R009,M0081,2026-04-13,8.6,38.18,Quality Rejection
WST0000134,R016,M0093,2026-06-13,2.5,32.98,Spoilage
WST0000135,R009,M0059,2026-01-31,5.1,70.58,Spoilage
WST0000136,R012,M0052,2026-09-16,5.1,37.89,Overproduction
WST0000137,R009,M0058,2026-08-06,0.6,2.06,Preparation Waste
WST0000138,R002,M0052,2026-08-31,11.4,84.7,Spoilage
WST0000139,R007,M0120,2025-08-17,3.8,27.36,Overproduction
WST0000140,R017,M0102,2026-05-30,12.2,106.75,Customer Return
WST0000141,R020,M0022,2026-01-07,13.7,121.66,Overproduction
WST0000142,R016,M0121,2025-09-30,9.0,46.44,Quality Rejection
WST0000143,R011,M0011,2025-09-08,3.9,22.74,Customer Return
WST0000144,R008,M0090,2026-01-04,3.6,18.83,Preparation Waste
WST0000145,R016,M0022,2025-10-30,6.8,60.38,Spoilage
WST0000146,R012,M0094,2026-04-08,6.8,50.25,Overproduction
WST0000147,R016,M0137,2026-05-18,5.9,33.22,Quality Rejection
WST0000148,R004,M0078,2026-04-18,4.4,24.07,Overproduction
WST0000149,R018,M0017,2025-10-14,0.7,2.92,Spoilage
WST0000150,R019,M0067,2025-10-25,0.8,4.85,Overproduction
WST0000151,R018,M0159,2026-04-10,0.8,5.45,Preparation Waste
WST0000152,R009,M0015,2026-03-14,2.8,18.7,Customer Return
WST0000153,R011,M0115,2026-07-31,3.9,35.8,Customer Return
WST0000154,R018,M0121,2026-08-05,12.3,63.47,Preparation Waste
WST0000155,R009,M0070,2026-09-12,4.5,54.81,Preparation Waste
WST0000156,R008,M0052,2026-02-07,6.3,46.81,Overproduction
WST0000157,R010,M0030,2026-09-06,3.4,22.98,Overproduction
WST0000158,R009,M0094,2026-03-19,11.3,83.51,Overproduction
WST0000159,R002,M0053,2025-10-13,6.4,39.55,Quality Rejection
WST0000160,R016,M0142,2025-10-08,5.6,68.38,Expired Ingredients
WST0000161,R010,M0016,2025-09-15,12.5,36.5,Preparation Waste
WST0000162,R004,M0094,2025-12-24,12.3,90.9,Spoilage
WST0000163,R008,M0132,2026-08-07,7.1,21.58,Preparation Waste
WST0000164,R020,M0160,2026-09-03,2.3,21.04,Spoilage
WST0000165,R001,M0046,2025-08-30,4.9,48.46,Preparation Waste
WST0000166,R005,M0024,2025-10-08,2.3,7.98,Overproduction
WST0000167,R009,M0059,2026-01-06,5.6,77.5,Preparation Waste
WST0000168,R002,M0134,2026-06-13,11.3,149.95,Spoilage
WST0000169,R004,M0011,2026-08-03,1.2,7.0,Overproduction
WST0000170,R007,M0142,2026-04-21,12.7,155.07,Overproduction
WST0000171,R017,M0082,2026-02-23,8.7,58.2,Overproduction
WST0000172,R007,M0147,2025-10-12,2.6,29.48,Customer Return
WST0000173,R011,M0094,2026-04-02,13.0,96.07,Spoilage
WST0000174,R009,M0052,2026-07-28,12.4,92.13,Overproduction
WST0000175,R013,M0063,2026-07-04,3.2,27.42,Spoilage
WST0000176,R011,M0086,2026-05-12,3.0,22.95,Overproduction
WST0000177,R005,M0142,2026-03-14,8.5,103.79,Customer Return
WST0000178,R002,M0095,2026-03-29,6.1,26.11,Preparation Waste
WST0000179,R003,M0134,2026-05-28,6.7,88.91,Overproduction
WST0000180,R014,M0014,2026-06-14,4.8,24.24,Quality Rejection
WST0000181,R016,M0060,2026-08-17,12.8,165.38,Preparation Waste
WST0000182,R006,M0048,2026-04-24,3.6,11.88,Overproduction
WST0000183,R002,M0053,2026-04-05,10.9,67.36,Overproduction
WST0000184,R003,M0157,2025-11-07,9.4,32.24,Quality Rejection
WST0000185,R017,M0131,2026-05-29,4.1,38.58,Quality Rejection
WST0000186,R008,M0148,2026-04-01,7.9,45.82,Preparation Waste
WST0000187,R005,M0071,2025-12-11,0.9,10.66,Spoilage
WST0000188,R005,M0121,2025-09-25,5.9,30.44,Quality Rejection
WST0000189,R006,M0109,2026-06-19,0.9,11.9,Customer Return
WST0000190,R013,M0098,2026-07-11,6.5,70.85,Overproduction
WST0000191,R018,M0112,2025-09-11,4.6,32.61,Overproduction
WST0000192,R015,M0016,2025-10-11,13.0,37.96,Spoilage
WST0000193,R006,M0095,2025-12-11,8.8,37.66,Expired Ingredients
WST0000194,R012,M0039,2025-09-13,2.8,23.63,Overproduction
WST0000195,R011,M0048,2026-02-02,4.1,13.53,Preparation Waste
WST0000196,R006,M0098,2026-08-23,6.2,67.58,Customer Return
WST0000197,R013,M0156,2026-02-25,0.8,7.06,Overproduction
WST0000198,R010,M0134,2026-06-08,7.1,94.22,Customer Return
WST0000199,R015,M0094,2026-01-01,9.8,72.42,Preparation Waste
WST0000200,R001,M0067,2025-08-31,1.1,6.67,Preparation Waste
WST0000201,R015,M0094,2025-11-21,8.0,59.12,Quality Rejection
WST0000202,R020,M0082,2026-05-29,11.6,77.6,Overproduction
WST0000203,R004,M0109,2025-11-08,2.6,34.37,Expired Ingredients
WST0000204,R010,M0053,2025-08-05,8.4,51.91,Expired Ingredients
WST0000205,R016,M0097,2026-09-21,3.3,26.14,Quality Rejection
WST0000206,R018,M0009,2026-06-21,4.6,39.15,Expired Ingredients
WST0000207,R019,M0152,2025-12-28,8.7,40.37,Preparation Waste
WST0000208,R002,M0001,2026-06-06,1.9,7.41,Quality Rejection
WST0000209,R008,M0052,2026-02-01,10.6,78.76,Preparation Waste
WST0000210,R014,M0157,2025-12-04,7.2,24.7,Preparation Waste
WST0000211,R002,M0124,2026-03-25,250.0,14.05,Overproduction
WST0000212,R010,M0136,2026-09-15,3.6,29.52,Customer Return
WST0000213,R011,M0026,2025-08-21,3.2,16.74,Expired Ingredients
WST0000214,R010,M0157,2025-08-11,14.0,48.02,Overproduction
WST0000215,R014,M0025,2026-07-26,4.0,10.24,Quality Rejection
WST0000216,R004,M0157,2025-08-02,10.9,37.39,Customer Return
WST0000217,R015,M0053,2025-11-16,12.7,78.49,Quality Rejection
WST0000218,R014,M0044,2025-12-05,2.2,17.47,Customer Return
WST0000219,R018,M0081,2025-11-22,8.2,36.41,Overproduction
WST0000220,R014,M0104,2026-08-04,4.2,25.54,Spoilage
WST0000221,R020,M0093,2025-11-14,0.6,7.91,Spoilage
WST0000222,R008,M0100,2026-02-20,3.4,28.97,Overproduction
WST0000223,R005,M0052,2026-02-15,11.0,81.73,Quality Rejection
WST0000224,R003,M0081,2025-09-20,14.2,63.05,Spoilage
WST0000225,R009,M0024,2026-02-18,4.0,13.88,Overproduction
WST0000226,R016,M0121,2025-10-23,6.9,35.6,Expired Ingredients
WST0000227,R005,M0130,2026-02-11,5.0,60.2,Preparation Waste
WST0000228,R009,M0046,2025-11-24,3.4,33.63,Quality Rejection
WST0000229,R007,M0149,2025-10-12,0.8,5.54,Customer Return
WST0000230,R020,M0127,2026-09-22,11.5,147.08,Overproduction
WST0000231,R014,M0130,2026-03-06,9.6,115.58,Overproduction
WST0000232,R015,M0014,2026-06-01,1.4,7.07,Preparation Waste
WST0000233,R003,M0114,2026-07-23,3.6,27.72,Preparation Waste
WST0000234,R006,M0102,2026-05-25,9.1,79.62,Expired Ingredients
WST0000235,R006,M0022,2025-08-02,4.5,39.96,Preparation Waste
WST0000236,R007,M0048,2026-01-27,9.1,30.03,Customer Return
WST0000237,R004,M0140,2025-09-04,0.6,1.77,Quality Rejection
WST0000238,R019,M0018,2026-04-28,4.3,46.74,Spoilage
WST0000239,R017,M0123,2026-08-22,4.9,49.88,Quality Rejection
WST0000240,R017,M0111,2025-11-10,4.0,55.32,Customer Return
WST0000241,R010,M0103,2026-05-21,2.0,8.2,Preparation Waste
WST0000242,R007,M0109,2026-08-09,2.6,34.37,Spoilage
WST0000243,R005,M0110,2026-06-25,1.8,17.06,Overproduction
WST0000244,R017,M0043,2025-08-31,2.6,7.88,Customer Return
WST0000245,R009,M0047,2026-05-12,1.9,14.76,Customer Return
WST0000246,R002,M0094,2025-11-29,13.3,98.29,Expired Ingredients
WST0000247,R010,M0134,2025-12-18,12.7,168.53,Overproduction
WST0000248,R005,M0099,2025-08-04,4.6,18.91,Expired Ingredients
WST0000249,R005,M0093,2025-10-26,3.6,47.48,Expired Ingredients
WST0000250,R011,M0004,2025-08-27,3.8,21.36,Preparation Waste
WST0000251,R011,M0124,2025-12-12,3.8,10.68,Preparation Waste
WST0000252,R010,M0122,2025-10-01,4.3,22.53,Preparation Waste
WST0000253,R005,M0092,2026-03-16,1.6,11.33,Spoilage
WST0000254,R001,M0064,2026-07-12,0.8,8.4,Overproduction
WST0000255,R002,M0095,2026-07-28,7.8,33.38,Overproduction
WST0000256,R014,M0119,2026-07-18,1.4,6.01,Spoilage
WST0000257,R011,M0053,2026-04-24,14.6,90.23,Customer Return
WST0000258,R014,M0129,2025-11-10,1.3,3.52,Spoilage
WST0000259,R012,M0123,2026-04-17,4.9,49.88,Customer Return
WST0000260,R020,M0053,2026-07-29,9.4,58.09,Preparation Waste
WST0000261,R013,M0130,2026-08-04,8.5,102.34,Overproduction
WST0000262,R002,M0015,2025-08-17,0.8,5.34,Preparation Waste
WST0000263,R004,M0102,2026-02-22,3.8,33.25,Preparation Waste
WST0000264,R017,M0157,2025-10-25,13.3,45.62,Expired Ingredients
WST0000265,R009,M0079,2026-01-04,4.7,15.84,Quality Rejection
WST0000266,R001,M0127,2025-10-30,10.9,139.41,Overproduction
WST0000267,R003,M0027,2026-04-20,2.0,7.16,Spoilage
WST0000268,R011,M0043,2026-01-19,0.7,2.12,Expired Ingredients
WST0000269,R017,M0053,2026-02-08,4.2,25.96,Expired Ingredients
WST0000270,R003,M0148,2026-05-31,7.8,45.24,Customer Return
WST0000271,R008,M0134,2026-05-01,6.2,82.27,Customer Return
WST0000272,R020,M0102,2025-10-19,4.3,37.62,Customer Return
WST0000273,R007,M0054,2025-09-26,3.2,42.98,Preparation Waste
WST0000274,R015,M0132,2026-07-19,9.3,28.27,Customer Return
WST0000275,R008,M0095,2026-03-07,11.4,48.79,Quality Rejection
WST0000276,R016,M0052,2026-05-27,4.3,31.95,Customer Return
WST0000277,R006,M0022,2026-02-26,5.1,45.29,Customer Return
WST0000278,R009,M0016,2025-09-28,11.6,33.87,Customer Return
WST0000279,R015,M0080,2025-08-30,2.7,17.5,Quality Rejection
WST0000280,R008,M0137,2025-08-05,10.7,60.24,Spoilage
WST0000281,R013,M0063,2026-01-06,0.5,4.28,Spoilage
WST0000282,R017,M0028,2026-04-02,1.0,9.76,Customer Return
WST0000283,R018,M0137,2026-07-10,11.4,64.18,Preparation Waste
WST0000284,R014,M0033,2025-11-10,0.7,8.81,Quality Rejection
WST0000285,R004,M0146,2026-04-02,4.4,28.73,Overproduction
WST0000286,R003,M0065,2026-04-23,2.4,32.23,Overproduction
WST0000287,R007,M0009,2025-12-12,11.4,97.01,Quality Rejection
WST0000288,R006,M0009,2025-12-17,14.1,119.99,Expired Ingredients
WST0000289,R017,M0042,2025-08-22,2.6,24.78,Preparation Waste
WST0000290,R002,M0126,2026-09-14,2.6,19.55,Spoilage
WST0000291,R007,M0081,2026-04-09,14.5,64.38,Overproduction
WST0000292,R009,M0125,2025-11-04,3.0,16.44,Spoilage
WST0000293,R003,M0130,2026-07-17,9.9,119.2,Customer Return
WST0000294,R007,M0009,2026-07-25,6.2,52.76,Spoilage
WST0000295,R010,M0042,2025-10-05,3.9,37.17,Preparation Waste
WST0000296,R017,M0081,2025-09-29,7.5,33.3,Expired Ingredients
WST0000297,R015,M0137,2026-01-12,5.3,29.84,Overproduction
WST0000298,R017,M0059,2025-10-01,6.3,87.19,Quality Rejection
WST0000299,R013,M0157,2025-08-06,8.0,27.44,Expired Ingredients
WST0000300,R016,M0105,2026-08-20,4.8,30.86,Preparation Waste
WST0000301,R006,M0127,2026-09-23,5.3,67.79,Customer Return
WST0000302,R016,M0052,2025-09-02,9.7,72.07,Overproduction
WST0000303,R017,M0039,2026-08-05,4.1,34.6,Customer Return
WST0000304,R002,M0132,2025-11-21,11.0,33.44,Quality Rejection
WST0000305,R012,M0053,2025-12-18,11.3,69.83,Preparation Waste
WST0000306,R012,M0152,2026-09-22,4.9,22.74,Preparation Waste
WST0000307,R003,M0087,2026-06-20,2.2,10.85,Expired Ingredients
WST0000308,R013,M0134,2026-04-11,10.8,143.32,Overproduction
WST0000309,R012,M0059,2026-04-28,3.9,53.98,Quality Rejection
WST0000310,R020,M0022,2026-02-24,8.3,73.7,Spoilage
WST0000311,R009,M0060,2026-08-22,7.0,90.44,Expired Ingredients
WST0000312,R009,M0134,2026-08-21,6.0,79.62,Spoilage
WST0000313,R016,M0104,2025-12-19,4.8,29.18,Preparation Waste
WST0000314,R001,M0009,2025-10-10,7.8,66.38,Quality Rejection
WST0000315,R011,M0059,2025-11-15,3.7,51.21,Customer Return
WST0000316,R004,M0104,2026-03-04,6.4,38.91,Preparation Waste
WST0000317,R016,M0061,2026-05-27,1.8,6.93,Preparation Waste
WST0000318,R018,M0035,2026-05-15,3.9,41.22,Spoilage
WST0000319,R018,M0098,2026-09-13,9.1,99.19,Preparation Waste
WST0000320,R008,M0152,2025-08-19,11.6,53.82,Overproduction
WST0000321,R019,M0059,2026-06-16,14.8,204.83,Quality Rejection
WST0000322,R002,M0157,2026-01-16,12.6,43.22,Preparation Waste
WST0000323,R006,M0039,2026-06-10,1.7,14.35,Spoilage
WST0000324,R016,M0098,2026-02-22,14.7,160.23,Spoilage
WST0000325,R009,M0032,2026-04-21,4.0,42.0,Quality Rejection
WST0000326,R020,M0096,2026-04-17,1.2,16.66,Expired Ingredients
WST0000327,R013,M0003,2026-06-10,2.7,25.33,Overproduction
WST0000328,R020,M0130,2025-08-14,10.6,127.62,Customer Return
WST0000329,R008,M0087,2026-02-08,1.9,9.37,Customer Return
WST0000330,R007,M0082,2025-08-11,11.1,74.26,Overproduction
WST0000331,R016,M0060,2026-08-18,3.2,41.34,Spoilage
WST0000332,R007,M0127,2026-01-19,10.6,135.57,Customer Return
WST0000333,R006,M0070,2026-03-27,1.6,19.49,Spoilage
WST0000334,R019,M0060,2025-11-19,10.1,130.49,Expired Ingredients
WST0000335,R010,M0137,2026-07-21,6.4,36.03,Preparation Waste
WST0000336,R002,M0016,2026-05-18,13.3,38.84,Overproduction
WST0000337,R019,M0092,2026-07-01,3.3,23.36,Quality Rejection
WST0000338,R013,M0072,2026-09-22,4.4,23.5,Spoilage
WST0000339,R012,M0053,2026-06-26,7.5,46.35,Overproduction
WST0000340,R020,M0134,2026-08-13,10.6,140.66,Expired Ingredients
WST0000341,R013,M0059,2026-08-03,13.2,182.69,Spoilage
WST0000342,R004,M0009,2026-02-17,3.4,28.93,Quality Rejection
WST0000343,R005,M0121,2026-08-30,13.0,67.08,Quality Rejection
WST0000344,R013,M0081,2025-12-02,12.8,56.83,Quality Rejection
WST0000345,R006,M0121,2026-06-13,12.1,62.44,Expired Ingredients
WST0000346,R020,M0082,2025-12-14,8.0,53.52,Preparation Waste
WST0000347,R014,M0022,2026-07-05,3.2,28.42,Overproduction
WST0000348,R009,M0145,2026-05-05,1.4,17.51,Overproduction
WST0000349,R001,M0157,2026-02-17,10.8,37.04,Customer Return
WST0000350,R015,M0152,2026-01-05,8.1,37.58,Preparation Waste
WST0000351,R014,M0134,2026-02-24,3.4,45.12,Spoilage
WST0000352,R005,M0113,2026-04-20,1.4,12.15,Quality Rejection
WST0000353,R019,M0095,2026-08-18,12.9,55.21,Spoilage
WST0000354,R010,M0108,2026-08-01,4.0,53.56,Preparation Waste
WST0000355,R008,M0052,2026-04-02,3.7,27.49,Customer Return
WST0000356,R003,M0015,2026-08-13,1.4,9.35,Preparation Waste
WST0000357,R006,M0121,2026-08-01,12.8,66.05,Preparation Waste
WST0000358,R010,M0016,2026-02-18,11.2,32.7,Customer Return
WST0000359,R008,M0067,2026-09-13,3.6,21.82,Expired Ingredients
WST0000360,R012,M0153,2025-08-06,2.3,32.06,Spoilage
WST0000361,R008,M0096,2026-01-19,1.8,24.98,Expired Ingredients
WST0000362,R009,M0098,2026-07-29,10.9,118.81,Expired Ingredients
WST0000363,R009,M0082,2025-12-17,3.7,24.75,Overproduction
WST0000364,R004,M0083,2025-10-29,4.6,57.73,Preparation Waste
WST0000365,R018,M0125,2025-09-07,2.8,15.34,Expired Ingredients
WST0000366,R014,M0092,2025-08-10,3.0,21.24,Spoilage
WST0000367,R010,M0035,2025-11-23,1.9,20.08,Expired Ingredients
WST0000368,R014,M0047,2025-10-18,3.7,28.75,Spoilage
WST0000369,R018,M0158,2025-09-01,4.1,35.96,Customer Return
WST0000370,R012,M0016,2025-09-12,12.6,36.79,Customer Return
WST0000371,R017,M0031,2026-07-09,3.8,22.38,Overproduction
WST0000372,R013,M0009,2026-01-23,7.5,63.82,Quality Rejection
WST0000373,R016,M0081,2026-08-07,6.1,27.08,Preparation Waste
WST0000374,R006,M0053,2026-07-08,4.7,29.05,Overproduction
WST0000375,R005,M0098,2026-01-03,10.4,113.36,Overproduction
WST0000376,R017,M0155,2026-07-18,4.9,27.2,Customer Return
WST0000377,R015,M0010,2026-06-28,2.2,18.37,Preparation Waste
WST0000378,R003,M0031,2025-08-17,1.9,11.19,Customer Return
WST0000379,R018,M0118,2026-07-24,4.0,13.04,Preparation Waste
WST0000380,R013,M0082,2026-01-29,4.8,32.11,Spoilage
WST0000381,R009,M0104,2026-09-04,5.5,33.44,Quality Rejection
WST0000382,R014,M0059,2025-12-27,14.5,200.68,Overproduction
WST0000383,R003,M0108,2026-01-10,2.5,33.48,Preparation Waste
WST0000384,R014,M0127,2025-10-20,9.6,122.78,Spoilage
WST0000385,R014,M0098,2026-05-12,13.5,147.15,Preparation Waste
WST0000386,R005,M0148,2026-01-08,11.7,67.86,Spoilage
WST0000387,R011,M0074,2026-01-29,3.5,43.05,Expired Ingredients
WST0000388,R002,M0052,2025-10-15,11.7,86.93,Expired Ingredients
WST0000389,R010,M0016,2025-09-30,5.5,16.06,Spoilage
WST0000390,R001,M0115,2025-08-11,1.5,13.77,Customer Return
WST0000391,R019,M0052,2026-03-07,13.4,99.56,Quality Rejection
WST0000392,R012,M0137,2026-05-26,10.2,57.43,Overproduction
WST0000393,R001,M0102,2026-04-10,12.5,109.38,Overproduction
WST0000394,R002,M0048,2026-05-26,7.1,23.43,Overproduction
WST0000395,R007,M0052,2026-05-23,13.8,102.53,Quality Rejection
WST0000396,R019,M0119,2025-12-04,2.3,9.87,Quality Rejection
WST0000397,R015,M0082,2026-01-24,5.8,38.8,Overproduction
