item_id,restaurant_id,order_date,actual,spark_pred,actual_py,py_pred,naive_7,abs_diff
M0094,R002,2026-09-02,1.0,2.34,1.0,1.9090909090909092,2.0,0.4309090909090907
M0094,R002,2026-09-11,1.0,1.4706190476190475,1.0,1.9090909090909092,1.0,0.4384718614718617
M0094,R002,2026-09-14,1.0,1.3377777777777777,1.0,1.9090909090909092,1.0,0.5713131313131314
M0094,R002,2026-09-15,2.0,1.5577777777777777,2.0,1.9090909090909092,1.0,0.35131313131313147
M0094,R002,2026-09-22,1.0,1.4922222222222221,1.0,1.9090909090909092,1.0,0.41686868686868706
M0094,R002,2026-09-23,3.0,1.4554444444444443,3.0,1.9090909090909092,1.0,0.45364646464646485
M0105,R007,2026-09-16,2.0,2.8011111111111107,2.0,1.9090909090909092,2.0,0.8920202020202015
M0105,R007,2026-09-23,2.0,1.5687777777777778,2.0,1.9090909090909092,1.0,0.34031313131313135
M0105,R011,2026-09-22,1.0,2.4121428571428574,1.0,1.9090909090909092,2.0,0.5030519480519482
M0120,R001,2026-09-24,3.0,1.6206190476190476,3.0,1.9090909090909092,1.0,0.28847186147186155
M0120,R017,2026-09-19,2.0,1.87484126984127,2.0,1.9090909090909092,1.0,0.0342496392496392
M0121,R016,2026-09-22,1.0,3.067222222222222,1.0,1.9090909090909092,3.0,1.158131313131313
M0121,R016,2026-09-24,2.0,1.9115079365079368,2.0,1.9090909090909092,1.0,0.0024170274170276507
M0133,R001,2026-09-13,1.0,1.2638095238095237,1.0,1.9090909090909092,1.0,0.6452813852813855
M0133,R001,2026-09-14,1.0,2.2022539682539684,1.0,1.9090909090909092,3.0,0.2931630591630592
M0133,R001,2026-09-23,1.0,2.2354761904761906,1.0,1.9090909090909092,3.0,0.32638528138528144
M0133,R003,2026-09-23,1.0,2.7022222222222223,1.0,1.9090909090909092,2.0,0.7931313131313131
M0133,R003,2026-09-24,1.0,1.3683174603174604,1.0,1.9090909090909092,1.0,0.5407734487734488
M0133,R004,2026-09-24,1.0,1.9435873015873018,1.0,1.9090909090909092,3.0,0.03449639249639258
M0133,R007,2026-09-20,1.0,1.2638095238095237,1.0,1.9090909090909092,1.0,0.6452813852813855
M0133,R007,2026-09-23,3.0,1.3031428571428572,3.0,1.9090909090909092,1.0,0.605948051948052
M0133,R007,2026-09-24,2.0,1.4534761904761906,2.0,1.9090909090909092,2.0,0.4556147186147186
M0133,R008,2026-09-10,1.0,2.142063492063492,1.0,1.9090909090909092,1.0,0.23297258297258283
M0133,R008,2026-09-15,1.0,2.503888888888889,1.0,1.9090909090909092,2.0,0.5947979797979799
M0133,R008,2026-09-16,1.0,1.4554444444444443,1.0,1.9090909090909092,1.0,0.45364646464646485
M0133,R008,2026-09-20,2.0,1.3244444444444443,2.0,1.9090909090909092,1.0,0.5846464646464649
M0133,R008,2026-09-23,5.0,2.2326666666666664,5.0,1.9090909090909092,2.0,0.3235757575757572
M0133,R008,2026-09-24,1.0,1.2345873015873015,1.0,1.9090909090909092,1.0,0.6745036075036077
M0133,R011,2026-09-23,2.0,1.9650000000000003,2.0,1.9090909090909092,1.0,0.05590909090909113
M0133,R011,2026-09-24,3.0,1.9577777777777778,3.0,1.9090909090909092,2.0,0.04868686868686867
M0133,R013,2026-08-29,1.0,2.4490000000000003,1.0,1.9090909090909092,3.0,0.5399090909090911
M0133,R013,2026-08-31,1.0,1.246031746031746,1.0,1.9090909090909092,1.0,0.6630591630591631
M0133,R013,2026-09-09,2.0,2.4788888888888887,2.0,1.9090909090909092,2.0,0.5697979797979795
M0133,R013,2026-09-17,1.0,1.9159206349206348,1.0,1.9090909090909092,2.0,0.00682972582972563
M0133,R013,2026-09-18,1.0,1.3388095238095237,1.0,1.9090909090909092,1.0,0.5702813852813855
M0133,R013,2026-09-19,3.0,1.809031746031746,3.0,1.9090909090909092,2.0,0.10005916305916318
M0133,R013,2026-09-23,1.0,2.760111111111111,1.0,1.9090909090909092,3.0,0.851020202020202
M0133,R015,2026-09-23,2.0,1.5561111111111112,2.0,1.9090909090909092,1.0,0.35297979797979795
M0133,R015,2026-09-24,1.0,1.984063492063492,1.0,1.9090909090909092,2.0,0.07497258297258291
M0133,R016,2026-09-08,1.0,1.9144444444444446,1.0,1.9090909090909092,1.0,0.0053535353535354435
M0133,R016,2026-09-13,1.0,2.396111111111111,1.0,1.9090909090909092,2.0,0.4870202020202017
M0133,R016,2026-09-17,2.0,1.3923650793650793,2.0,1.9090909090909092,1.0,0.5167258297258299
M0133,R016,2026-09-22,3.0,1.394920634920635,3.0,1.9090909090909092,1.0,0.5141702741702743
M0135,R001,2026-09-09,1.0,2.3324761904761906,1.0,1.9090909090909092,2.0,0.4233852813852814
M0135,R001,2026-09-10,1.0,2.45084126984127,1.0,1.9090909090909092,2.0,0.5417503607503606
M0135,R001,2026-09-11,3.0,1.2424761904761903,3.0,1.9090909090909092,1.0,0.6666147186147189
M0135,R001,2026-09-24,1.0,1.9784761904761903,1.0,1.9090909090909092,2.0,0.0693852813852811
M0135,R002,2026-08-31,2.0,1.8200317460317463,2.0,1.9090909090909092,3.0,0.08905916305916284
M0135,R002,2026-09-02,1.0,1.8632539682539682,1.0,1.9090909090909092,3.0,0.04583694083694101
M0135,R002,2026-09-10,1.0,2.396777777777778,1.0,1.9090909090909092,5.0,0.4876868686868687
M0135,R002,2026-09-11,1.0,2.121809523809524,1.0,1.9090909090909092,3.0,0.21271861471861486
M0135,R002,2026-09-14,1.0,1.1726984126984126,1.0,1.9090909090909092,1.0,0.7363924963924966
M0135,R002,2026-09-22,2.0,1.3821428571428571,2.0,1.9090909090909092,1.0,0.526948051948052
M0135,R002,2026-09-23,4.0,1.8083333333333333,4.0,1.9090909090909092,1.0,0.10075757575757582
M0135,R005,2026-08-30,1.0,2.1812222222222224,1.0,1.9090909090909092,2.0,0.2721313131313132
M0135,R005,2026-09-02,1.0,1.5687777777777778,1.0,1.9090909090909092,1.0,0.34031313131313135
M0135,R005,2026-09-05,1.0,2.5766666666666667,1.0,1.9090909090909092,2.0,0.6675757575757575
M0135,R005,2026-09-06,2.0,1.3244444444444443,2.0,1.9090909090909092,1.0,0.5846464646464649
M0135,R005,2026-09-07,1.0,1.862222222222222,1.0,1.9090909090909092,1.0,0.04686868686868717
M0135,R005,2026-09-10,1.0,1.4847777777777775,1.0,1.9090909090909092,1.0,0.42431313131313164
M0135,R005,2026-09-11,1.0,2.2713333333333328,1.0,1.9090909090909092,3.0,0.3622424242424236
M0135,R005,2026-09-14,1.0,1.8222222222222222,1.0,1.9090909090909092,1.0,0.08686868686868698
M0135,R005,2026-09-17,1.0,1.4729999999999999,1.0,1.9090909090909092,1.0,0.4360909090909093
M0135,R005,2026-09-23,1.0,1.8166666666666667,1.0,1.9090909090909092,1.0,0.09242424242424252
M0135,R006,2026-09-17,1.0,1.5433174603174604,1.0,1.9090909090909092,1.0,0.36577344877344875
M0135,R006,2026-09-18,1.0,2.1134285714285714,1.0,1.9090909090909092,3.0,0.20433766233766226
M0135,R006,2026-09-19,2.0,2.3604444444444446,2.0,1.9090909090909092,2.0,0.4513535353535354
M0135,R006,2026-09-21,1.0,2.3654444444444445,1.0,1.9090909090909092,2.0,0.4563535353535353
M0135,R006,2026-09-23,2.0,1.7983333333333333,2.0,1.9090909090909092,1.0,0.11075757575757583
M0135,R006,2026-09-24,3.0,1.3256984126984126,3.0,1.9090909090909092,1.0,0.5833924963924966
M0135,R009,2026-09-01,1.0,2.011666666666667,1.0,1.9090909090909092,1.0,0.10257575757575799
M0135,R009,2026-09-05,3.0,1.2424761904761903,3.0,1.9090909090909092,1.0,0.6666147186147189
M0135,R009,2026-09-08,1.0,2.1910317460317463,1.0,1.9090909090909092,2.0,0.28194083694083716
M0135,R009,2026-09-15,1.0,1.4654761904761904,1.0,1.9090909090909092,1.0,0.4436147186147188
M0135,R009,2026-09-18,3.0,1.9318095238095236,3.0,1.9090909090909092,2.0,0.02271861471861447
M0135,R009,2026-09-21,1.0,1.196031746031746,1.0,1.9090909090909092,1.0,0.7130591630591632
M0135,R010,2026-09-23,3.0,1.6087777777777779,3.0,1.9090909090909092,1.0,0.3003131313131313
M0135,R011,2026-09-03,1.0,1.1694444444444443,1.0,1.9090909090909092,1.0,0.7396464646464649
M0135,R011,2026-09-08,1.0,1.91,1.0,1.9090909090909092,2.0,0.0009090909090907484
M0135,R011,2026-09-10,1.0,1.897777777777778,1.0,1.9090909090909092,2.0,0.011313131313131164
M0135,R011,2026-09-15,2.0,2.591222222222222,2.0,1.9090909090909092,3.0,0.6821313131313129
M0135,R011,2026-09-16,1.0,1.3544444444444443,1.0,1.9090909090909092,1.0,0.5546464646464648
M0135,R011,2026-09-17,2.0,2.756777777777778,2.0,1.9090909090909092,4.0,0.847686868686869
M0135,R011,2026-09-18,1.0,1.3083333333333331,1.0,1.9090909090909092,1.0,0.600757575757576
M0135,R011,2026-09-21,3.0,1.2555555555555555,3.0,1.9090909090909092,1.0,0.6535353535353536
M0135,R011,2026-09-24,1.0,1.8972222222222221,1.0,1.9090909090909092,1.0,0.011868686868687028
M0135,R012,2026-09-12,1.0,1.4979523809523807,1.0,1.9090909090909092,1.0,0.41113852813852847
M0135,R012,2026-09-13,1.0,1.371111111111111,1.0,1.9090909090909092,1.0,0.5379797979797982
M0135,R012,2026-09-15,1.0,2.3116666666666665,1.0,1.9090909090909092,2.0,0.40257575757575736
M0135,R012,2026-09-16,1.0,2.5477777777777777,1.0,1.9090909090909092,2.0,0.6386868686868685
M0135,R013,2026-09-16,3.0,2.245476190476191,3.0,1.9090909090909092,2.0,0.3363852813852817
M0135,R013,2026-09-24,1.0,2.088984126984127,1.0,1.9090909090909092,3.0,0.179893217893218
M0135,R014,2026-09-16,1.0,1.7221111111111114,1.0,1.9090909090909092,1.0,0.1869797979797978
M0135,R014,2026-09-17,1.0,2.7887301587301585,1.0,1.9090909090909092,3.0,0.8796392496392493
M0135,R014,2026-09-18,1.0,1.8877777777777776,1.0,1.9090909090909092,1.0,0.021313131313131617
M0135,R014,2026-09-19,2.0,1.4296666666666666,2.0,1.9090909090909092,1.0,0.47942424242424253
M0135,R014,2026-09-21,1.0,1.3377777777777777,1.0,1.9090909090909092,1.0,0.5713131313131314
M0135,R015,2026-08-28,1.0,1.2649841269841269,1.0,1.9090909090909092,1.0,0.6441067821067823
M0135,R015,2026-09-03,2.0,2.3911111111111114,2.0,1.9090909090909092,2.0,0.48202020202020224
M0135,R015,2026-09-05,1.0,1.1973650793650792,1.0,1.9090909090909092,1.0,0.71172582972583
M0135,R015,2026-09-06,1.0,1.1149206349206349,1.0,1.9090909090909092,1.0,0.7941702741702743
M0135,R015,2026-09-15,2.0,1.9550000000000003,2.0,1.9090909090909092,1.0,0.04590909090909112
M0135,R015,2026-09-17,1.0,2.7034444444444445,1.0,1.9090909090909092,3.0,0.7943535353535354
M0135,R015,2026-09-23,2.0,2.717888888888889,2.0,1.9090909090909092,3.0,0.8087979797979798
M0135,R016,2026-09-23,1.0,2.232142857142857,1.0,1.9090909090909092,2.0,0.32305194805194803
M0135,R017,2026-09-10,1.0,2.632063492063492,1.0,1.9090909090909092,2.0,0.722972582972583
M0135,R017,2026-09-11,1.0,1.8967619047619049,1.0,1.9090909090909092,2.0,0.0123290043290043
M0135,R017,2026-09-18,3.0,2.2713333333333328,3.0,1.9090909090909092,3.0,0.3622424242424236
M0135,R017,2026-09-21,2.0,1.236031746031746,2.0,1.9090909090909092,1.0,0.6730591630591631
M0135,R017,2026-09-22,2.0,1.3649206349206349,2.0,1.9090909090909092,1.0,0.5441702741702743
M0135,R017,2026-09-23,1.0,1.815,1.0,1.9090909090909092,1.0,0.09409090909090922
M0135,R018,2026-09-18,2.0,1.4979523809523807,2.0,1.9090909090909092,1.0,0.41113852813852847
M0135,R018,2026-09-20,1.0,1.411111111111111,1.0,1.9090909090909092,1.0,0.4979797979797982
M0135,R018,2026-09-22,3.0,2.1055555555555556,3.0,1.9090909090909092,1.0,0.19646464646464645
M0135,R018,2026-09-24,3.0,1.4063333333333334,3.0,1.9090909090909092,1.0,0.5027575757575757
