price_id,item_id,price,effective_from,effective_to
P000047,M0027,5.69,2022-03-13,
P000048,M0028,26.16,2024-02-06,2026-02-07
P000049,M0028,24.02,2026-02-07,
P000050,M0029,6.86,2021-01-21,
P000051,M0030,8.04,2025-05-04,
P000052,M0031,9.52,2021-06-28,2026-08-25
P000053,M0031,11.79,2026-08-25,
P000054,M0032,20.67,2023-01-03,2025-10-21
P000055,M0032,21.35,2025-10-21,
P000056,M0033,31.05,2022-07-29,2026-05-03
P000057,M0033,29.69,2026-05-03,2026-09-02
P000058,M0033,28.9,2026-09-02,
P000059,M0034,35.84,2024-11-18,
P000060,M0035,28.37,2023-06-17,
P000061,M0036,5.1,2025-02-20,2025-07-31
P000062,M0036,4.6,2025-07-31,2026-04-28
P000063,M0036,4.85,2026-04-28,
P000064,M0037,18.87,2022-06-27,2026-01-12
P000065,M0037,17.2,2026-01-12,2026-04-07
P000066,M0037,18.09,2026-04-07,2026-06-02
P000067,M0037,19.09,2026-06-02,
P000068,M0038,4.25,2023-12-09,2025-08-09
P000069,M0038,4.64,2025-08-09,
P000070,M0039,12.86,2020-12-06,2025-09-26
P000071,M0039,13.32,2025-09-26,2026-02-01
P000072,M0039,12.36,2026-02-01,
P000073,M0040,38.95,2022-01-21,2026-09-17
P000074,M0040,44.57,2026-09-17,
P000075,M0041,20.94,2022-02-11,2025-08-29
P000076,M0041,21.67,2025-08-29,2025-11-30
P000077,M0041,21.08,2025-11-30,2026-01-04
P000078,M0041,19.36,2026-01-04,
P000079,M0042,15.93,2020-10-01,2025-12-01
P000080,M0042,16.27,2025-12-01,
P000081,M0043,3.67,2023-07-22,
P000082,M0044,10.64,2022-05-06,
P000083,M0045,14.35,2024-07-03,2025-09-09
P000084,M0045,13.36,2025-09-09,2025-09-12
P000085,M0045,12.6,2025-09-12,2026-05-17
P000086,M0045,12.97,2026-05-17,
P000087,M0046,11.86,2021-08-19,2026-08-09
P000088,M0046,12.33,2026-08-09,
P000089,M0047,14.87,2025-03-11,
P000090,M0048,4.18,2025-04-29,2026-04-05
P000091,M0048,4.07,2026-04-05,
P000092,M0049,14.62,2021-11-15,
P000093,M0050,30.79,2024-04-21,2026-09-21
P000094,M0050,26.58,2026-09-21,
P000095,M0051,23.06,2021-03-31,2025-09-04
P000096,M0051,22.58,2025-09-04,
P000097,M0052,18.6,2023-12-17,2026-08-24
P000098,M0052,19.56,2026-08-24,
P000099,M0053,19.76,2025-02-18,2026-04-29
P000100,M0053,20.62,2026-04-29,
P000101,M0054,48.03,2020-10-14,2025-10-03
P000102,M0054,52.65,2025-10-03,2026-08-27
P000103,M0054,51.43,2026-08-27,
P000104,M0055,25.67,2024-04-11,2025-10-04
P000105,M0055,23.64,2025-10-04,2026-07-03
P000106,M0055,17.79,2026-07-03,
P000107,M0056,15.07,2020-09-21,
P000108,M0057,12.17,2025-01-06,2026-03-31
P000109,M0057,13.29,2026-03-31,
P000110,M0058,4.3,2023-06-14,2026-05-08
P000111,M0058,4.21,2026-05-08,
P000112,M0059,34.78,2024-01-09,
P000113,M0060,16.49,2023-01-15,2025-10-23
P000114,M0060,15.0,2025-10-23,
P000115,M0061,8.36,2022-01-07,
P000116,M0062,17.45,2020-11-26,
P000117,M0063,33.71,2023-07-15,2025-12-13
P000118,M0063,34.74,2025-12-13,
P000119,M0064,18.19,2024-09-01,
P000120,M0065,42.52,2023-07-04,2026-04-27
P000121,M0065,38.88,2026-04-27,
P000122,M0066,13.13,2023-08-04,
P000123,M0067,16.75,2024-05-28,
P000124,M0068,22.51,2021-10-28,2026-06-06
P000125,M0068,20.79,2026-06-06,
P000126,M0069,18.78,2024-02-01,2026-03-04
P000127,M0069,20.08,2026-03-04,
P000128,M0070,35.1,2021-08-24,2025-11-16
P000129,M0070,32.41,2025-11-16,
P000130,M0071,47.37,2021-10-01,2026-05-03
P000131,M0071,44.05,2026-05-03,2026-08-08
P000132,M0071,46.13,2026-08-08,2026-08-21
P000133,M0071,48.84,2026-08-21,
P000134,M0072,9.21,2021-12-12,2025-11-10
P000135,M0072,8.62,2025-11-10,2026-07-19
P000136,M0072,9.33,2026-07-19,
P000137,M0073,15.13,2025-03-07,2026-07-31
P000138,M0073,14.19,2026-07-31,
P000139,M0074,23.71,2022-03-02,2026-01-06
P000140,M0074,21.86,2026-01-06,
P000141,M0075,23.4,2022-01-08,
P000142,M0076,15.1,2024-08-15,
P000143,M0077,14.81,2022-08-03,2026-02-20
P000144,M0077,16.2,2026-02-20,2026-07-09
P000145,M0077,18.53,2026-07-09,
P000146,M0078,9.52,2021-06-29,
P000147,M0079,4.36,2024-03-17,2026-02-07
P000148,M0079,5.15,2026-02-07,2026-06-28
P000149,M0079,4.73,2026-06-28,
P000150,M0080,20.77,2024-08-31,2026-03-12
P000151,M0080,18.78,2026-03-12,2026-04-21
P000152,M0080,21.76,2026-04-21,
P000153,M0081,6.5,2022-12-28,2026-03-19
P000154,M0081,7.08,2026-03-19,
P000155,M0082,12.21,2023-06-15,
P000156,M0083,42.19,2024-01-26,2025-09-30
P000157,M0083,43.72,2025-09-30,
P000158,M0084,7.82,2021-12-29,2025-12-04
P000159,M0084,8.52,2025-12-04,
P000160,M0085,4.18,2021-09-21,2025-11-23
P000161,M0085,4.55,2025-11-23,
P000162,M0086,14.42,2022-06-17,
P000163,M0087,7.54,2024-05-08,2025-09-01
P000164,M0087,6.79,2025-09-01,
P000165,M0088,10.32,2021-09-28,2026-01-20
P000166,M0088,10.95,2026-01-20,
P000167,M0089,9.11,2023-10-06,2025-08-10
P000168,M0089,8.4,2025-08-10,
P000169,M0090,6.63,2020-11-08,2026-05-28
P000170,M0090,5.51,2026-05-28,
P000171,M0091,14.39,2021-04-10,2026-05-10
P000172,M0091,15.0,2026-05-10,
P000173,M0092,26.39,2021-03-25,
P000174,M0093,25.56,2025-04-08,2025-11-25
P000175,M0093,24.26,2025-11-25,
P000176,M0094,13.55,2024-04-18,2026-05-28
P000177,M0094,14.62,2026-05-28,
P000178,M0095,7.62,2020-12-21,2025-08-03
P000179,M0095,7.22,2025-08-03,2025-11-20
P000180,M0095,6.97,2025-11-20,
P000181,M0096,21.14,2025-05-27,2025-09-05
P000182,M0096,22.43,2025-09-05,
P000183,M0097,13.14,2021-01-25,2026-06-19
P000184,M0097,12.36,2026-06-19,2026-07-28
P000185,M0097,12.7,2026-07-28,
P000186,M0098,37.98,2023-10-24,2025-08-30
P000187,M0098,40.3,2025-08-30,
P000188,M0099,11.02,2023-05-02,2025-11-25
P000189,M0099,11.78,2025-11-25,
P000190,M0100,13.42,2024-01-30,2025-09-03
P000191,M0100,12.11,2025-09-03,
P000192,M0101,11.69,2025-03-18,2025-08-16
P000193,M0101,11.93,2025-08-16,2026-01-16
P000194,M0101,10.95,2026-01-16,
P000195,M0102,28.58,2024-05-25,2025-09-05
P000196,M0102,29.69,2025-09-05,
P000197,M0103,10.97,2022-05-27,
P000198,M0104,8.67,2020-09-01,
P000199,M0105,18.0,2021-07-22,
P000200,M0106,5.92,2023-10-26,2026-04-20
