order_item_id,order_id,item_id,quantity,unit_price,discount_pct,promotion_id,line_total
OI00000145,ORD0000050,M0074,1,23.71,0.0,,23.71
OI00000146,ORD0000050,M0109,1,25.87,0.0,,25.87
OI00000147,ORD0000050,M0004,1,15.93,0.0,,15.93
OI00000148,ORD0000051,M0020,1,11.02,0.0,,11.02
OI00000149,ORD0000052,M0045,1,14.35,0.0,,14.35
OI00000150,ORD0000052,M0099,1,11.02,0.0,,11.02
OI00000151,ORD0000053,M0093,1,25.56,0.0,,25.56
OI00000152,ORD0000053,M0133,2,9.14,0.0,,18.28
OI00000153,ORD0000053,M0012,1,14.79,0.0,,14.79
OI00000154,ORD0000053,M0139,2,30.72,0.0,,61.44
OI00000155,ORD0000053,M0090,2,6.63,0.0,,13.26
OI00000156,ORD0000054,M0154,2,7.1,0.0,,14.2
OI00000157,ORD0000054,M0002,2,16.25,0.0,,32.5
OI00000158,ORD0000054,M0151,1,28.99,0.0,,28.99
OI00000159,ORD0000055,M0001,1,7.05,0.0,,7.05
OI00000160,ORD0000056,M0093,1,25.56,0.0,,25.56
OI00000161,ORD0000056,M0133,-1,9.14,0.0,,9.14
OI00000162,ORD0000057,M0055,1,25.67,0.0,,25.67
OI00000163,ORD0000057,M0119,1,5.79,0.0,,5.79
OI00000164,ORD0000058,M0092,1,26.39,0.0,,26.39
OI00000165,ORD0000058,M0133,3,9.14,0.0,,27.42
OI00000166,ORD0000058,M0016,1,6.03,0.0,,6.03
OI00000167,ORD0000058,M0074,1,23.71,0.0,,23.71
OI00000168,ORD0000058,M0036,1,5.1,0.0,,5.1
OI00000169,ORD0000059,M0002,2,16.25,0.0,,32.5
OI00000170,ORD0000059,M0048,2,4.18,0.0,,8.36
OI00000171,ORD0000059,M0006,3,28.1,0.0,,84.3
OI00000172,ORD0000060,M0016,1,6.03,0.0,,6.03
OI00000173,ORD0000060,M0093,2,25.56,0.0,,51.12
OI00000174,ORD0000060,M0045,-1,14.35,0.0,,14.35
OI00000175,ORD0000060,M0099,2,11.02,0.0,,22.04
OI00000176,ORD0000061,M0130,3,16.58,0.0,,49.74
OI00000177,ORD0000061,M0129,1,8.99,0.0,,8.99
OI00000178,ORD0000061,M0059,1,34.78,0.0,,34.78
OI00000179,ORD0000061,M0152,1,12.14,0.0,,12.14
OI00000180,ORD0000061,M0002,2,16.25,0.0,,32.5
OI00000181,ORD0000061,M0121,2,11.55,0.0,,23.1
OI00000182,ORD0000062,M0081,1,6.5,0.0,,6.5
OI00000183,ORD0000062,M0020,2,11.02,0.0,,22.04
OI00000184,ORD0000062,M0115,1,19.51,0.0,,19.51
OI00000185,ORD0000062,M0111,1,39.89,0.0,,39.89
OI00000186,ORD0000062,M0157,2,4.78,0.0,,9.56
OI00000187,ORD0000063,M0073,2,15.13,0.0,,30.26
OI00000188,ORD0000063,M0016,1,6.03,0.0,,6.03
OI00000189,ORD0000063,M0041,1,20.94,0.0,,20.94
OI00000190,ORD0000063,M0138,1,10.33,0.0,,10.33
OI00000191,ORD0000063,M0063,1,33.71,0.0,,33.71
OI00000192,ORD0000063,M0100,3,13.42,0.0,,40.26
OI00000193,ORD0000063,M0108,2,17.67,0.0,,35.34
OI00000194,ORD0000064,M0095,2,7.62,0.37,PROMO002,9.6
OI00000195,ORD0000064,M0032,1,20.67,0.37,PROMO002,13.02
OI00000196,ORD0000065,M0079,2,4.36,0.0,,8.72
OI00000197,ORD0000065,M0124,1,3.79,0.0,,3.79
OI00000198,ORD0000066,M0158,2,14.15,0.0,,28.3
OI00000199,ORD0000066,M0158,3,14.15,0.0,,42.45
OI00000200,ORD0000066,M0073,1,15.13,0.0,,15.13
