rating_id,customer_id,item_id,restaurant_id,order_id,rating,review_date
RATE0000062,CUST002982,M0133,R008,ORD0008570,4,2026-09-19
RATE0000063,CUST003856,M0124,R016,ORD0001825,3,2026-09-26
RATE0000064,CUST002145,M0151,R011,ORD0001241,4,2026-09-02
RATE0000065,CUST003726,M0033,R008,ORD0008431,4,2026-06-25
RATE0000066,CUST001806,M0113,R008,ORD0007715,0,2026-08-17
RATE0000067,CUST003679,M0080,R018,ORD0005608,4,2026-09-22
RATE0000068,CUST003640,M0019,R007,ORD0007081,5,2026-08-05
RATE0000069,CUST001528,M0130,R001,ORD0004348,4,2026-08-06
RATE0000070,CUST003111,M0113,R019,ORD0008503,3,2026-04-05
RATE0000071,CUST003978,M0065,R011,ORD0005261,4,2026-04-24
RATE0000072,CUST000130,M0107,R010,ORD0008370,5,2026-07-20
RATE0000073,CUST001304,M0083,R007,ORD0000542,4,2026-09-01
RATE0000074,CUST000782,M0106,R008,ORD0002529,4,2026-04-11
RATE0000075,CUST001593,M0061,R007,ORD0002010,4,2025-09-05
RATE0000076,CUST003156,M0149,R007,ORD0000391,5,2026-07-06
RATE0000077,CUST003703,M0098,R020,ORD0002301,5,2026-08-27
RATE0000078,CUST001337,M0152,R010,ORD0007124,4,2026-03-07
RATE0000079,CUST002542,M0087,R006,ORD0002438,4,2026-07-04
RATE0000080,CUST003093,M0138,R009,ORD0001607,4,2026-09-08
RATE0000081,CUST000869,M0133,R008,ORD0000703,4,2025-12-02
RATE0000082,CUST001712,M0148,R011,ORD0008073,4,2026-05-20
RATE0000083,CUST002100,M0007,R011,ORD0003623,4,2026-09-08
RATE0000084,CUST000782,M0025,R014,ORD0001848,3,2026-09-26
RATE0000085,CUST000538,M0009,R010,ORD0003507,4,2026-07-30
RATE0000086,CUST000293,M0122,R007,ORD0001172,4,2026-09-25
RATE0000087,CUST000368,M0042,R017,ORD0003081,4,2026-05-31
RATE0000088,CUST000217,M0042,R004,ORD0008416,5,2025-10-06
RATE0000089,CUST001872,M0099,R009,ORD0004572,4,2026-01-30
RATE0000090,CUST002145,M0143,R011,ORD0001241,4,2026-09-01
RATE0000091,CUST002263,M0086,R010,ORD0005616,5,2026-02-09
RATE0000092,CUST000197,M0099,R014,ORD0002270,4,2026-09-14
RATE0000093,CUST002588,M0078,R018,ORD0001161,3,2026-09-24
RATE0000094,CUST002648,M0097,R016,ORD0007550,4,2026-09-25
RATE0000095,CUST002637,M0057,R017,ORD0002970,4,2026-09-24
RATE0000096,CUST002905,M0020,R011,ORD0006391,3,2026-07-28
RATE0000097,CUST000401,M0119,R002,ORD0003551,3,2026-06-17
RATE0000098,CUST001850,M0032,R020,ORD0007385,5,2026-08-02
RATE0000099,CUST002544,M0122,R005,ORD0008904,4,2026-09-22
RATE0000100,CUST002228,M0004,R009,ORD0001359,4,2026-09-18
RATE0000101,CUST000543,M0103,R012,ORD0005498,4,2026-06-11
RATE0000102,CUST003569,M0025,R003,ORD0008241,4,2026-09-11
RATE0000103,CUST002002,M0062,R010,ORD0008982,3,2026-01-25
RATE0000104,CUST000279,M0097,R013,ORD0000102,3,2026-09-10
RATE0000105,CUST001745,M0122,R007,ORD0008404,5,2026-05-03
RATE0000106,CUST002686,M0005,R018,ORD0006549,4,2026-08-24
RATE0000107,CUST003674,M0001,R002,ORD0001963,5,2026-08-24
RATE0000108,CUST002603,M0027,R006,ORD0006706,3,2026-09-04
RATE0000109,CUST001857,M0135,R003,ORD0001745,4,2026-09-17
RATE0000110,CUST000300,M0038,R006,ORD0002644,3,2026-01-18
RATE0000111,CUST002408,M0004,R014,ORD0003228,5,2026-04-26
RATE0000112,CUST003048,M0014,R004,ORD0003635,0,2026-04-28
RATE0000113,CUST001939,M0036,R012,ORD0001829,4,2026-03-29
RATE0000114,CUST001712,M0122,R003,ORD0006868,5,2026-08-08
RATE0000115,CUST003470,M0073,R019,ORD0000400,4,2026-05-27
RATE0000116,CUST002908,M0032,R003,ORD0007958,4,2026-07-22
RATE0000117,CUST003850,M0019,R017,ORD0000101,4,2026-08-10
RATE0000118,CUST003963,M0092,R010,ORD0002229,3,2026-08-03
RATE0000119,CUST002322,M0079,R008,ORD0008653,5,2026-06-07
RATE0000120,CUST000721,M0123,R007,ORD0006103,4,2026-04-01
RATE0000121,CUST001417,M0135,R018,ORD0007631,5,2026-04-28
RATE0000122,CUST003461,M0020,R020,ORD0004542,5,2026-09-07
RATE0000123,CUST003525,M0086,R019,ORD0001861,4,2026-06-26
RATE0000124,CUST001683,M0120,R007,ORD0003758,5,2025-11-14
RATE0000125,CUST002247,M0053,R005,ORD0006846,4,2026-09-05
RATE0000126,CUST003044,M0135,R006,ORD0008229,3,2026-01-22
RATE0000127,CUST000214,M0131,R003,ORD0005929,3,2026-09-20
RATE0000128,CUST000866,M0121,R011,ORD0003222,3,2025-12-29
RATE0000129,CUST000979,M0009,R012,ORD0003126,4,2025-12-24
RATE0000130,CUST002236,M0029,R008,ORD0002414,4,2026-06-11
RATE0000131,CUST003847,M0054,R005,ORD0003742,3,2026-08-14
RATE0000132,CUST001781,M0091,R003,ORD0002881,5,2026-05-21
RATE0000133,CUST001853,M0093,R001,ORD0005655,4,2026-08-07
RATE0000134,CUST001578,M0128,R019,ORD0006958,3,2026-04-29
RATE0000135,CUST000965,M0109,R007,ORD0001706,4,2026-09-01
RATE0000136,CUST002544,M0001,R010,ORD0003807,5,2026-09-05
RATE0000137,CUST002828,M0120,R007,ORD0002233,5,2025-10-15
RATE0000138,CUST001803,M0107,R016,ORD0007578,3,2026-09-12
RATE0000139,CUST000314,M0053,R016,ORD0006189,3,2026-01-01
RATE0000140,CUST000565,M0067,R009,ORD0003843,4,2026-08-16
RATE0000141,CUST000852,M0037,R020,ORD0006484,5,2026-07-18
RATE0000142,CUST001242,M0099,R005,ORD0003517,5,2026-07-13
RATE0000143,CUST000625,M0103,R019,ORD0006703,3,2026-09-12
RATE0000144,CUST003982,M0063,R008,ORD0005000,5,2026-06-28
RATE0000145,CUST000112,M0087,R017,ORD0004365,5,2026-04-20
RATE0000146,CUST003840,M0014,R003,ORD0001997,5,2026-06-23
RATE0000147,CUST001562,M0093,R016,ORD0003902,4,2026-05-09
RATE0000148,CUST002208,M0099,R016,ORD0000052,4,2026-08-22
RATE0000149,CUST001211,M0003,R020,ORD0003203,5,2026-08-29
RATE0000150,CUST001159,M0124,R016,ORD0002123,4,2026-01-11
RATE0000151,CUST000255,M0093,R014,ORD0002808,3,2026-03-25
RATE0000152,CUST002074,M0090,R004,ORD0001123,5,2026-06-18
RATE0000153,CUST002879,M0108,R016,ORD0005469,4,2026-08-01
RATE0000154,CUST003677,M0118,R009,ORD0000555,3,2025-12-02
RATE0000155,CUST002390,M0020,R006,ORD0004445,4,2026-08-26
RATE0000156,CUST002809,M0133,R013,ORD0005210,4,2026-08-13
RATE0000157,CUST001331,M0060,R017,ORD0008112,3,2026-05-05
RATE0000158,CUST000322,M0084,R001,ORD0003493,3,2026-09-07
RATE0000159,CUST000277,M0099,R001,ORD0004133,5,2026-07-12
RATE0000160,CUST000869,M0065,R008,ORD0002065,4,2026-01-31
RATE0000161,CUST001859,M0124,R007,ORD0001457,5,2026-07-22
RATE0000162,CUST003275,M0066,R011,ORD0004294,4,2026-07-14
RATE0000163,CUST001309,M0079,R005,ORD0002380,4,2026-07-15
RATE0000164,CUST003868,M0082,R008,ORD0005716,3,2025-12-15
RATE0000165,CUST002988,M0132,R004,ORD0007503,3,2026-02-13
RATE0000166,CUST003929,M0044,R014,ORD0008249,5,2026-07-23
RATE0000167,CUST003948,M0042,R015,ORD0007910,4,2026-08-25
RATE0000168,CUST002216,M0135,R019,ORD0002725,4,2026-09-11
RATE0000169,CUST003875,M0117,R016,ORD0001315,5,2026-07-30
RATE0000170,CUST001423,M0029,R006,ORD0008673,3,2026-08-06
RATE0000171,CUST002347,M0114,R009,ORD0007780,4,2026-08-12
RATE0000172,CUST003611,M0136,R013,ORD0006996,4,2026-06-15
RATE0000173,CUST001504,M0149,R010,ORD0003702,5,2026-09-06
RATE0000174,CUST002376,M0063,R019,ORD0005402,4,2026-04-06
RATE0000175,CUST001640,M0124,R004,ORD0001866,3,2026-03-22
RATE0000176,CUST000191,M0009,R014,ORD0006796,4,2026-05-24
RATE0000177,CUST000169,M0139,R014,ORD0001332,5,2026-08-09
RATE0000178,CUST000568,M0081,R003,ORD0001044,3,2026-05-23
RATE0000179,CUST000108,M0033,R018,ORD0006000,5,2026-08-29
RATE0000180,CUST003047,M0127,R017,ORD0003878,5,2026-07-31
RATE0000181,CUST001511,M0156,R017,ORD0003116,3,2026-09-13
RATE0000182,CUST001723,M0072,R007,ORD0003571,4,2026-02-18
RATE0000183,CUST000124,M0148,R020,ORD0000776,4,2026-07-30
RATE0000184,CUST002813,M0007,R020,ORD0002823,3,2026-05-29
RATE0000185,CUST000528,M0054,R008,ORD0003362,4,2026-09-12
RATE0000186,CUST001803,M0001,R016,ORD0007578,5,2026-09-08
RATE0000187,CUST002908,M0091,R003,ORD0007958,5,2026-07-27
RATE0000188,CUST000846,M0117,R020,ORD0008315,5,2026-08-01
RATE0000189,CUST002809,M0093,R013,ORD0005210,3,2026-08-09
RATE0000190,CUST002242,M0032,R018,ORD0005622,4,2026-07-28
RATE0000191,CUST003809,M0119,R017,ORD0005990,2,2026-08-22
RATE0000192,CUST003599,M0003,R016,ORD0007420,4,2026-09-04
RATE0000193,CUST002511,M0120,R020,ORD0000946,4,2026-08-01
RATE0000194,CUST001264,M0105,R019,ORD0005365,5,2026-07-01
RATE0000195,CUST000547,M0051,R014,ORD0000490,3,2026-05-25
RATE0000196,CUST001791,M0123,R008,ORD0008363,4,2026-09-02
RATE0000197,CUST000713,M0091,R018,ORD0005012,5,2025-12-04
RATE0000198,CUST001023,M0092,R012,ORD0005831,3,2026-09-16
RATE0000199,CUST002982,M0004,R018,ORD0003637,4,2026-09-05
RATE0000200,CUST001713,M0131,R003,ORD0001052,4,2025-12-13
